Workload,Threads,Real_Time
blackscholes,1,86.619
blackscholes,2,48.762
blackscholes,4,29.461
blackscholes,8,22.503
canneal,1,194.352
canneal,2,118.394
canneal,4,75.695
canneal,8,62.076
dedup,1,14.175
dedup,2,7.633
dedup,4,5.291
dedup,8,6.572
ferret,1,227.207
ferret,2,116.001
ferret,4,64.668
ferret,8,56.463
freqmine,1,346.772
freqmine,2,175.25900000000001
freqmine,4,108.328
freqmine,8,72.247
radix,1,40.787
radix,2,20.761
radix,4,10.476
radix,8,6.83
vips,1,65.397
vips,2,32.935
vips,4,17.1
vips,8,15.989
