#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      219.1   101.5    80.4   130.1   141.0   202.0   234.3   256.3   272.2   290.6   313.8   350.5   470.3   855.6  3365.9  29931.2    30000  1743371044715  1743371054876
read      221.8    94.0    80.4   131.6   142.8   204.1   237.1   260.9   276.8   294.9   317.5   357.0   488.4   821.4  3152.8  29984.2    30005  1743371056388  1743371066525
read      215.0    85.2    80.4   133.0   144.3   202.3   229.9   245.8   257.4   271.9   292.7   331.7   444.9   889.4  2749.2  30064.2    30010  1743371068036  1743371078142
read      216.4    98.5    80.4   132.3   143.3   201.7   231.6   249.6   263.2   278.8   299.7   336.7   444.4   989.3  3333.6  30039.2    30015  1743371079654  1743371089758
read      223.3   101.6    80.4   130.4   141.2   205.6   244.0   264.9   279.2   295.9   318.6   360.1   477.6  1028.5  3531.6  29975.8    30020  1743371091270  1743371101371
read      220.7    98.5    80.4   133.2   144.7   207.3   236.9   254.2   267.4   282.9   304.6   344.0   465.4   864.3  3723.3  30003.3    30025  1743371102883  1743371112983
read      218.2   106.9    80.4   133.4   144.1   201.8   232.3   250.5   264.0   279.7   302.1   345.1   466.2  1119.3  3600.1  30042.9    30030  1743371114494  1743371124605
read      214.0    93.1    80.4   131.0   141.8   199.2   228.8   246.2   259.1   274.1   295.2   334.6   454.5   996.9  3207.4  30138.5    30035  1743371126118  1743371136218
read      247.5   192.8    80.4   132.1   143.7   209.8   243.4   264.0   279.4   300.5   335.1   437.7  1077.3  2265.5  3977.8  30108.9    30040  1743371137730  1743371147831
read      309.5   341.5    86.8   133.4   144.8   225.8   279.6   312.1   340.4   389.5   499.4   717.7  2028.7  3988.0  7255.7  30025.4    30045  1743371149345  1743371159530
read      241.8   203.0    74.4   127.7   138.9   212.3   263.2   286.9   302.7   320.3   345.3   398.1   633.4  2881.3  8296.5  30067.2    30050  1743371161048  1743371171282
read      233.8   145.5    80.4   130.9   141.7   211.5   259.2   283.0   298.3   315.7   338.5   377.0   531.0  1319.6  4746.1  30042.7    30055  1743371172796  1743371183029
read      228.7   103.8    80.4   130.5   141.2   207.8   254.3   278.2   293.7   311.1   333.0   370.3   505.6   907.7  3466.9  30092.3    30060  1743371184542  1743371194644
read      234.0   130.6    80.4   128.9   139.8   210.2   253.9   284.0   304.2   325.1   350.4   392.6   533.7  1179.3  5466.5  30177.6    30065  1743371196156  1743371206264
read      239.0   119.2    86.8   130.7   141.8   214.9   260.1   291.7   312.5   334.6   361.7   403.0   547.9  1047.0  3488.8  30104.8    30070  1743371207776  1743371217878
read      236.0   106.0    80.4   131.7   142.6   213.5   255.0   284.6   306.4   328.9   355.8   398.6   538.8   907.0  3058.7  30071.7    30075  1743371219389  1743371229493
read      233.7   109.7    80.4   131.7   142.7   212.0   251.6   276.4   297.9   320.9   348.5   392.8   536.8  1211.3  3066.0  30104.4    30080  1743371231006  1743371241108
read      231.5   109.9    80.4   130.5   141.5   210.4   249.4   272.8   294.5   318.5   346.0   390.5   531.8  1050.4  2934.7  30093.2    30085  1743371242619  1743371252723
read      230.9   106.2    80.4   131.0   141.8   210.7   249.9   273.3   294.7   318.4   345.0   386.3   515.3   879.5  3580.3  30075.0    30090  1743371254233  1743371264337
read      232.2   108.6    80.4   131.8   142.5   211.3   250.2   274.1   295.5   319.1   346.1   389.6   523.4   998.3  3403.3  30029.3    30095  1743371265848  1743371275948
read      232.6   118.7    80.4   130.4   141.3   211.0   251.4   279.6   300.6   322.1   347.2   388.0   517.8  1099.1  4067.9  30049.0    30100  1743371277461  1743371287562
read      237.0   110.4    86.8   131.0   142.0   214.1   260.7   291.3   310.2   330.8   356.4   396.7   531.0   889.5  2948.1  30215.7    30105  1743371289074  1743371299179
read      239.0   103.7    80.4   131.3   142.2   215.0   267.1   296.2   314.5   335.2   361.2   402.4   532.9   793.6  3005.6  30143.6    30110  1743371300692  1743371310793
read      236.6   118.9    80.4   130.2   141.3   214.8   264.7   291.0   307.9   326.3   349.1   388.3   507.9  1327.8  4069.6  30107.8    30115  1743371312304  1743371322406
read      239.6   113.8    80.4   130.5   141.6   218.3   269.8   296.0   313.0   332.3   356.5   396.1   517.8  1057.5  3440.6  30164.0    30120  1743371323919  1743371334023
read      240.1   112.1    80.4   132.5   143.7   220.7   269.1   293.9   310.3   328.6   352.2   393.2   524.2   875.0  3488.9  30123.9    30125  1743371335537  1743371345656
read      237.8   102.2    80.4   132.1   143.3   219.6   266.2   290.8   307.0   324.5   346.9   388.0   515.9   935.0  2646.0  30218.7    30130  1743371347168  1743371357281
read      241.9   115.9    80.4   132.6   144.4   223.4   270.9   295.1   311.3   329.7   353.5   394.2   524.8  1138.6  3848.1  30186.3    30135  1743371358794  1743371368898
read      239.7   114.1    74.4   130.8   142.3   220.7   268.9   293.5   309.7   327.7   350.6   391.7   526.3  1169.1  3441.7  30137.4    30140  1743371370409  1743371380512
read      235.2    99.2    80.4   131.6   142.9   216.5   262.4   287.7   304.4   322.3   345.8   384.7   505.5   779.7  3077.5  30167.0    30145  1743371382024  1743371392129
read      240.0   115.4    80.4   131.8   143.4   222.2   268.2   292.3   308.6   327.0   350.6   391.4   522.1   935.9  3571.7  30130.3    30150  1743371393639  1743371403744
read      239.4   105.9    80.4   132.5   144.1   221.7   267.9   292.1   308.2   326.0   348.7   388.3   515.7  1006.3  3166.3  30199.4    30155  1743371405256  1743371415361
read      245.8   112.5    80.4   133.9   146.1   226.8   274.7   299.6   316.2   335.8   361.0   401.6   534.8  1184.6  3386.4  30248.5    30160  1743371416873  1743371426980
read      237.3   111.1    80.4   131.4   142.7   219.3   265.8   289.4   305.1   322.1   344.9   384.1   514.7  1034.3  3685.7  30208.0    30165  1743371428491  1743371438610
read      239.9   109.9    80.4   132.5   144.0   221.6   268.8   292.6   308.5   326.2   348.8   389.0   527.4   987.0  3639.2  30151.1    30170  1743371440122  1743371450226
read      243.4   114.8    80.4   132.6   144.5   223.6   272.6   297.1   313.6   332.7   357.4   398.9   538.0  1131.9  3466.0  30241.8    30175  1743371451738  1743371461842
read      242.3   116.8    74.4   132.3   143.9   222.8   271.4   295.9   312.3   331.2   355.5   396.9   536.3  1027.1  4009.4  30237.4    30180  1743371463353  1743371473459
read      241.7   115.7    86.8   131.9   143.3   222.1   270.5   294.3   310.6   329.4   353.9   395.5   531.3  1315.4  3393.7  30127.3    30185  1743371474973  1743371485078
read      236.0   111.0    86.8   130.9   142.2   218.1   265.0   288.3   303.8   320.3   342.9   379.4   506.5  1063.2  3061.4  30139.9    30190  1743371486593  1743371496698
read      235.9   105.2    80.4   130.2   141.3   217.6   266.2   289.9   305.5   322.3   345.2   383.6   511.0   806.4  3170.2  30173.9    30195  1743371498209  1743371508314
read      237.9   105.7    80.4   130.9   142.2   219.2   267.8   291.8   308.0   326.0   348.9   388.0   509.0   900.8  3176.1  30280.1    30200  1743371509827  1743371519929
read      236.9   111.6    80.4   130.5   141.9   218.6   265.7   289.0   304.7   321.9   345.2   384.0   511.6   990.8  4157.0  30278.9    30205  1743371521440  1743371531547
read      239.6   114.9    74.4   131.8   143.5   221.0   268.0   291.6   307.6   325.5   348.0   387.7   518.9  1325.4  3523.3  30185.1    30210  1743371533060  1743371543164
read      237.6   101.0    80.4   131.8   143.2   220.2   266.7   290.7   306.7   324.2   346.6   384.8   508.0   851.3  2846.6  30274.8    30215  1743371544674  1743371554776
read      238.1   106.7    80.4   131.9   143.3   221.3   267.7   291.4   307.1   324.2   346.0   383.9   509.4   796.6  3198.2  30135.7    30220  1743371556287  1743371566403
read      239.2   106.9    80.4   130.7   142.3   221.4   267.7   292.1   308.6   327.2   351.0   392.1   520.3  1040.9  3090.3  30296.2    30225  1743371567914  1743371578019
read      240.7   116.4    80.4   132.9   144.6   222.6   268.4   292.9   309.5   328.0   351.5   392.5   523.1   905.9  4834.0  30330.1    30230  1743371579532  1743371589634
read      235.4   105.7    80.4   131.4   142.7   218.6   261.5   286.1   302.6   320.2   343.5   380.5   505.6   893.7  3351.1  30320.6    30235  1743371591147  1743371601252
