#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      184.4    75.9    68.9   112.0   121.3   175.0   200.9   215.4   226.0   237.8   254.9   284.5   344.5   650.2  2577.8  29941.4    30000  1744185537017  1744185547153
read      192.1    85.3    74.4   115.4   125.8   181.2   208.6   224.1   234.8   249.8   269.5   299.1   361.8   628.3  3449.7  29952.6    30005  1744185548663  1744185558780
read      186.0    71.6    74.4   113.7   123.4   176.2   201.7   216.4   227.0   239.0   256.4   286.0   346.6   674.7  2334.8  29959.6    30010  1744185560290  1744185570384
read      182.2    70.8    68.9   112.3   121.6   172.9   197.7   212.2   222.6   234.4   251.6   278.8   338.3   489.0  2494.1  30017.5    30015  1744185571893  1744185581992
read      187.8    78.4    74.4   113.2   122.9   177.8   204.7   220.0   230.8   244.3   263.0   292.1   349.9   545.3  3319.2  29979.5    30020  1744185583502  1744185593599
read      192.7    94.1    74.4   114.1   123.8   180.2   208.3   224.5   235.5   251.2   271.7   304.2   376.1  1065.2  3264.4  30003.1    30025  1744185595109  1744185605208
read      192.3    81.8    74.4   114.8   124.9   180.7   209.2   225.3   236.1   251.5   271.7   302.8   369.4   677.8  3529.9  30017.4    30030  1744185606721  1744185616820
read      186.2    75.7    68.9   114.2   123.9   176.2   201.6   216.4   227.0   239.1   256.5   285.6   346.9   654.5  3011.2  30074.8    30035  1744185618335  1744185628436
read      191.9    84.9    74.4   115.8   125.7   181.2   209.0   224.5   234.9   249.2   268.2   297.4   362.7   665.8  3078.8  29921.8    30040  1744185629946  1744185640047
read      184.9    78.3    68.9   113.0   122.6   174.8   200.0   214.7   225.3   237.0   254.3   284.2   345.3   710.7  3047.3  30039.8    30045  1744185641558  1744185651656
read      189.6    84.5    74.4   113.9   123.8   178.1   205.3   221.1   232.2   246.6   266.2   295.9   363.4   772.0  3110.8  30069.1    30050  1744185653167  1744185663263
read      185.0    79.0    74.4   112.8   122.4   175.1   200.6   215.2   225.7   237.3   254.6   284.6   347.4   676.9  2694.6  29978.9    30055  1744185664774  1744185674875
read      186.4    69.5    74.4   114.7   124.4   177.0   202.2   217.1   227.8   240.1   257.2   286.1   346.1   533.5  2399.2  30013.5    30060  1744185676385  1744185686484
read      183.7    80.3    74.4   112.0   121.4   174.0   199.6   214.1   224.5   235.9   253.4   282.3   343.4   548.1  3488.7  30063.1    30065  1744185687996  1744185698092
read      189.6    80.2    74.4   114.7   124.5   179.4   206.7   221.7   232.2   245.8   264.4   293.2   354.1   745.1  3156.6  30053.5    30070  1744185699601  1744185709697
read      188.8    79.0    74.4   114.2   124.1   178.3   205.1   220.4   231.3   245.1   264.1   293.6   353.5   607.6  3267.9  30032.7    30075  1744185711207  1744185721304
read      191.5    73.0    74.4   115.5   125.5   181.0   209.0   224.8   235.3   249.9   269.0   298.1   361.8   583.5  2566.1  29997.4    30080  1744185722814  1744185732908
read      188.2    75.8    74.4   114.2   124.0   178.2   204.6   219.6   230.5   244.0   262.4   291.6   351.6   565.8  2942.5  30039.9    30085  1744185734418  1744185744520
