#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      419.3   446.5    86.8   161.7   181.0   300.0   376.9   438.0   495.7   589.1   748.1  1075.9  2023.0  6103.9  9981.8  29785.2    30000  1743690585068  1743690595195
read      348.4   366.5    93.8   155.6   172.8   273.8   331.8   370.6   403.4   454.2   541.0   739.6  1517.4  5587.8 10124.9  30023.4    30005  1743690596705  1743690606820
read      386.7   471.1    93.8   158.3   176.2   284.3   345.6   390.5   429.5   491.7   618.1   921.3  1912.4  6239.1 14632.0  29984.3    30010  1743690608329  1743690618428
read      322.3   306.6    93.8   153.6   169.6   266.8   317.9   351.6   379.3   416.8   475.3   630.7  1207.7  4335.4 10284.8  30108.1    30015  1743690619938  1743690630121
read      540.6   664.0    93.8   163.9   183.3   325.0   443.6   558.6   671.7   832.5  1093.6  1660.9  3176.6  7718.9 12196.6  29531.0    30020  1743690631633  1743690641885
read      874.4   956.8   101.3   200.1   231.3   476.4   860.8  1189.0  1416.7  1639.9  1960.2  2537.0  4584.3  9500.4 15299.6  26664.0    30025  1743690643403  1743690653688
read     1011.6   962.5    93.8   253.4   288.3   559.8  1163.3  1564.1  1713.9  1887.9  2194.5  2680.4  4918.8  7710.2 11586.0  26106.0    30030  1743690655197  1743690665294
read      360.0   309.1    93.8   163.0   180.7   286.4   343.6   384.2   423.0   479.0   570.8   779.6  1624.1  3552.6  6401.0  30049.1    30035  1743690666803  1743690676899
read      301.1   179.3    93.8   156.3   172.1   266.7   313.1   342.1   367.5   401.9   453.4   544.8   871.4  2236.2  5091.0  30103.5    30040  1743690678409  1743690688506
read      313.1   171.1    93.8   158.3   174.3   275.6   339.7   378.0   405.8   439.0   484.0   565.0   832.7  1671.0  5109.5  29975.3    30045  1743690690016  1743690700113
read      296.2   148.2    93.8   158.5   173.7   265.5   315.0   346.0   370.6   400.4   442.8   527.1   779.3  1544.8  3676.5  30012.0    30050  1743690701621  1743690711717
read      302.2   166.9    93.8   161.4   177.2   272.9   320.2   348.1   370.2   398.2   439.1   523.2   821.0  1937.4  4937.9  30066.4    30055  1743690713227  1743690723324
read      306.7   171.0    93.8   161.7   178.1   277.1   324.0   352.3   373.7   401.8   445.3   538.8   852.6  1942.1  5105.9  29914.6    30060  1743690724834  1743690734932
read      300.2   160.6    93.8   160.3   176.4   272.6   318.4   345.5   367.0   394.3   434.0   520.6   805.4  1791.8  4768.5  30031.4    30065  1743690736443  1743690746540
read      325.1   186.5    93.8   161.6   179.5   285.6   336.7   369.7   396.7   432.1   493.5   627.7  1029.7  1771.6  4861.1  30041.7    30070  1743690748051  1743690758149
read      309.2   166.1    93.8   161.7   179.2   279.8   326.7   356.4   378.7   407.0   450.1   547.6   838.6  1717.3  4882.7  30131.1    30075  1743690759659  1743690769757
read      311.1   172.5    93.8   162.0   179.8   281.3   328.1   357.8   380.5   408.7   451.4   548.2   853.0  2071.8  4954.6  29969.6    30080  1743690771265  1743690781362
read      313.9   168.0    93.8   162.1   180.4   281.9   329.6   360.5   384.7   415.9   462.4   572.4   881.8  1732.0  5013.0  30193.5    30085  1743690782871  1743690792967
read      317.6   178.3    93.8   163.8   181.8   284.1   333.3   364.5   388.9   420.0   467.3   579.5   898.6  1955.8  5328.6  30109.8    30090  1743690794477  1743690804575
read      316.5   181.2    93.8   162.1   181.2   284.9   333.1   363.3   386.9   417.1   462.6   572.4   875.7  1838.6  6256.6  30128.0    30095  1743690806085  1743690816182
