#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      245.3   158.2    68.9   126.8   144.7   225.9   249.2   262.7   272.2   285.0   301.3   340.2  1102.0  1368.8  3157.3   5003.4     5000              0  1744820524000
read      248.8   279.8    68.9   127.0   149.5   236.8   263.6   277.3   287.8   298.9   317.4   345.7   471.5  1186.9 11966.4   9924.0    10000              0  1744820530517
read      249.4    95.0    68.9   136.6   155.3   248.9   276.8   291.5   302.3   316.0   333.8   360.9   422.9  1065.8  4344.3  14976.4    15000              0  1744820537035
read      249.0    80.4    54.7   130.5   148.6   248.9   281.8   297.7   311.3   326.1   344.4   371.8   435.9   612.8  1151.3  19911.4    20000              0  1744820543551
read      253.6    86.5    68.9   130.5   148.1   254.0   289.1   307.9   321.0   336.8   355.6   384.0   442.1   575.3  1171.2  25177.8    25000              0  1744820550066
read      254.4    94.4    68.9   124.6   142.2   253.5   292.4   313.9   328.7   344.2   364.7   394.0   455.6   561.7  3035.7  30052.2    30000              0  1744820556582
read      256.9   101.0    74.4   122.0   138.7   255.4   297.6   320.8   337.1   354.7   374.2   403.3   464.6   622.5  1881.7  34916.2    35000              0  1744820563099
read      252.3   109.0    68.9   116.3   131.6   247.5   293.9   318.5   335.6   354.6   377.3   411.3   485.7   667.4  3545.5  40038.0    40000              0  1744820569616
read      251.8   204.9    68.9   112.9   127.0   242.3   291.6   317.4   335.7   355.8   379.2   414.9   486.0   679.0 11354.2  44972.1    45000              0  1744820576132
read      246.3   112.9    59.1   112.6   126.2   235.8   288.4   314.9   334.0   355.1   379.7   415.1   481.6   633.0  3072.6  49997.6    50000              0  1744820582647
read      241.0   112.8    59.1   110.0   122.1   228.5   283.4   311.5   331.5   353.2   378.2   413.5   475.8   600.9  3359.7  55095.2    55000              0  1744820589162
read      235.4   125.2    68.9   108.6   119.6   219.7   275.9   303.0   323.5   345.8   372.2   408.3   477.9   621.3  3950.8  60005.0    60000              0  1744820595677
read      236.9   109.0    68.9   105.8   117.5   219.6   279.0   309.4   331.3   355.2   382.9   421.6   493.4   605.9  1507.0  65005.6    65000              0  1744820602193
read      237.5   167.4    63.8   106.6   117.6   217.0   277.0   307.7   329.9   354.6   383.4   424.8   501.0   651.7 10506.2  69825.0    70000              0  1744820608709
read      232.9   110.5    63.8   105.1   115.9   211.4   273.2   304.7   328.0   353.3   382.0   421.6   494.1   625.4  3100.0  75041.4    75000              0  1744820615226
read      233.0   107.8    68.9   105.1   116.3   211.5   273.4   305.1   328.2   353.8   383.2   423.4   494.7   590.8   957.5  80143.4    80000              0  1744820621743
read      225.0   103.1    63.8   106.0   116.3   200.1   257.5   289.5   312.6   340.1   371.8   414.6   491.8   631.6  1674.3  85117.7    85000              0  1744820628259
read      226.8   110.6    54.7   105.7   116.2   200.9   259.9   292.9   317.2   344.3   375.4   419.1   497.3   636.4  2126.3  90111.3    90000              0  1744820634775
read      226.7   104.5    59.1   106.4   117.2   200.7   258.4   291.3   315.8   343.8   376.3   420.4   498.5   653.6  1274.4  95156.4    95000              0  1744820641291
read      226.4   108.9    59.1   107.2   118.1   199.8   256.2   289.6   313.6   341.4   373.8   419.1   499.0   674.2  2835.9  99953.8   100000              0  1744820647808
read      224.8   112.2    68.9   109.5   120.2   199.2   252.8   284.9   308.2   335.6   367.8   411.6   495.8   635.8  2264.8 105043.4   105000              0  1744820654324
read      233.8   100.7    63.8   113.6   126.3   210.1   262.9   294.5   318.3   345.7   378.8   424.9   507.6   640.1  1589.9 109853.7   110000              0  1744820660841
read      237.8   108.7    63.8   115.9   129.0   213.4   266.9   299.1   323.3   350.6   383.7   430.2   520.4   675.5  1799.0 114932.4   115000              0  1744820667358
read      235.0   112.0    68.9   115.9   129.5   212.6   262.2   292.3   315.2   342.0   373.1   418.4   502.3   670.1  3427.7 119903.4   120000              0  1744820673874
read      235.9   101.4    68.9   118.6   132.4   214.8   263.0   292.6   314.8   340.7   371.7   416.5   498.2   639.5  1433.3 124900.8   125000              0  1744820680391
read      253.6   107.9    68.9   127.7   143.1   234.0   284.1   313.7   335.1   359.8   390.5   435.2   533.1   712.0  2007.4 130288.2   130000              0  1744820686905
read      262.3    99.8    74.4   132.8   149.9   244.8   294.4   323.4   344.3   368.8   399.0   445.0   539.6   682.6   989.6 134890.8   135000              0  1744820693422
read      332.7   133.4    59.1   161.5   186.1   314.7   375.6   410.4   435.4   465.3   502.6   559.4   674.8   835.7  2804.7 140178.0   140000              0  1744820699936
read      400.5   158.8    68.9   202.5   230.8   376.1   464.0   505.9   533.2   563.0   597.2   647.6   747.0  1030.6  3898.6 142884.6   145000              0  1744820706451
read      424.1   154.4    86.8   229.6   255.4   395.0   508.3   546.0   569.4   592.8   623.3   665.6   745.6   929.2  3479.5 146008.0   150000              0  1744820712966
read      455.2   169.4    80.4   253.1   279.6   406.5   534.6   586.7   616.3   645.9   681.0   730.5   821.4   990.3  3797.9 140664.8   155000              0  1744820719482
read      433.7   166.1    74.4   236.9   262.2   394.6   516.2   559.5   584.7   611.9   640.6   685.3   774.8  1014.1  4328.4 147046.4   160000              0  1744820725998
read      438.9   153.9    93.8   239.2   265.1   409.0   519.8   561.4   586.4   613.8   642.5   687.6   783.2   993.6  2505.3 146726.7   165000              0  1744820732515
read      459.6   167.4    80.4   256.7   282.8   409.0   540.9   594.5   624.0   655.0   688.6   737.3   831.4  1006.8  3251.2 140235.0   170000              0  1744820739030
read      412.8   148.0    86.8   217.1   242.3   404.2   481.2   515.3   538.1   564.2   594.1   641.7   759.0  1003.2  2978.0 154131.4   175000              0  1744820745545
read      456.6   170.9    86.8   256.2   280.6   404.0   549.6   596.3   621.8   648.4   679.1   723.0   802.9   962.0  2356.4 141293.2   180000              0  1744820752063
read      446.1   158.4    86.8   244.0   270.4   408.5   528.7   573.0   599.6   627.6   661.3   707.4   797.2   980.7  2467.3 144504.8   185000              0  1744820758578
read      469.4   177.6    63.8   264.5   292.8   412.8   540.9   606.0   640.8   674.7   712.8   762.7   863.1  1062.7  3687.7 137430.0   190000              0  1744820765095
read      458.5   170.3    74.4   257.6   282.8   403.5   543.4   596.5   624.8   654.7   686.9   734.9   828.7  1009.4  2776.4 140650.6   195000              0  1744820771612
read      460.6   169.4    86.8   258.7   285.1   406.9   540.4   596.0   626.1   657.5   690.3   738.2   831.6  1118.8  3210.8 140096.3   200000              0  1744820778128
read      447.8   172.9    86.8   248.0   274.2   400.0   532.0   579.8   607.4   634.6   668.4   714.7   804.9  1043.8  2580.6 143980.8   205000              0  1744820784642
read      454.8   161.4    80.4   256.7   280.7   399.1   549.5   596.2   621.7   648.3   679.4   724.2   804.8   978.3  2395.8 141888.0   210000              0  1744820791158
read      430.2   166.1    86.8   228.2   255.8   407.5   501.1   541.2   567.6   595.1   631.0   682.4   791.7  1083.6  4269.0 149759.6   215000              0  1744820797676
read      430.0   153.4    93.8   228.9   256.1   414.1   504.7   542.0   566.6   592.0   625.7   674.3   779.8   996.1  2866.8 149912.0   220000              0  1744820804191
CPU Usage Stats (avg/min/max): 40.34%,19.00%,51.27%
