#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      190.8   132.5    74.4   109.7   120.5   173.0   190.0   200.6   210.8   222.6   235.2   257.6  1010.4  1419.1  2882.5   4984.4     5000  1745597870145  1745597875162
read      195.3    92.1    68.9   112.6   127.0   186.1   208.0   221.3   229.9   239.5   251.4   270.4   343.8  1089.8  2032.4  10058.8    10000  1745597876677  1745597881693
read      191.6    76.4    68.9   111.2   124.4   186.3   207.1   219.4   228.4   237.9   251.1   270.5   314.2  1057.8  2884.8  14922.2    15000  1745597883205  1745597888218
read      185.1    65.6    68.9   106.8   118.0   182.4   201.6   213.5   221.8   231.5   244.4   264.0   305.9  1013.7  2243.4  20051.4    20000  1745597889730  1745597894744
read      188.6    60.6    68.9   105.8   116.6   187.7   208.7   220.6   229.5   239.4   252.6   272.5   316.0   736.4  1415.7  24935.4    25000  1745597896256  1745597901270
read      199.1    71.7    68.9   105.1   115.7   198.7   226.3   240.2   250.0   261.4   274.5   295.1   338.9   478.3  2349.5  29960.0    30000  1745597902784  1745597907798
read      202.6    66.2    63.8   103.6   113.9   203.0   235.5   250.9   261.2   272.2   286.9   308.1   349.3   441.4   987.7  34961.8    35000  1745597909309  1745597914323
read      205.3    79.4    63.8   103.5   113.4   205.4   239.7   255.4   266.2   277.6   292.8   315.6   366.8   486.9  1054.0  39966.0    40000  1745597915835  1745597920848
read      203.0    84.8    63.8   101.6   111.4   202.3   238.3   254.7   265.7   277.1   292.4   315.3   365.7   465.4  2476.5  44910.6    45000  1745597922363  1745597927381
read      202.8    78.6    59.1   100.8   110.5   201.1   240.4   257.6   268.8   281.2   295.6   318.5   368.4   448.9  1469.5  49992.8    50000  1745597928889  1745597933902
read      203.7    84.8    68.9   100.3   110.0   198.6   242.2   260.7   272.2   285.6   300.9   324.0   374.9   524.2  2684.4  55119.0    55000  1745597935415  1745597940429
read      202.7    88.5    63.8    99.9   109.5   191.8   240.7   261.5   274.2   288.5   305.5   330.7   386.2   550.1  3124.4  60103.0    60000  1745597941941  1745597946955
read      200.4    86.1    63.8    98.4   107.8   189.2   238.5   259.6   272.4   287.0   304.2   330.4   385.3   500.8  2180.1  64965.0    65000  1745597948467  1745597953481
read      202.6    82.9    63.8    98.7   108.1   188.8   241.1   264.4   278.8   294.1   312.8   339.9   397.2   489.7  1189.5  69845.2    70000  1745597954995  1745597960009
read      199.8    90.5    63.8    97.7   106.8   183.8   235.9   260.4   275.2   291.4   310.6   337.9   395.5   541.1  2328.0  75055.6    75000  1745597961522  1745597966535
read      200.1    84.5    63.8    97.5   106.7   182.9   235.8   261.7   277.4   294.2   314.3   342.9   401.6   506.1   860.3  80051.7    80000  1745597968048  1745597973061
read      199.8    96.9    63.8    96.9   106.0   180.8   233.3   260.3   276.8   294.2   315.0   344.4   404.7   613.8  2913.7  84844.4    85000  1745597974573  1745597979587
read      197.7    84.4    63.8    96.2   104.9   178.6   231.5   259.5   276.6   294.8   315.8   344.8   402.4   498.4   664.1  90043.2    90000  1745597981098  1745597986112
read      201.0   109.7    63.8    97.2   106.2   179.4   232.5   261.8   279.9   298.7   320.7   353.4   419.1   588.5  3403.0  94993.9    95000  1745597987624  1745597992637
read      198.3    89.4    63.8    97.9   106.8   177.2   227.6   256.4   275.0   294.6   317.6   350.0   418.4   567.6  1526.6 100058.6   100000  1745597994151  1745597999165
read      197.9    92.3    63.8    97.2   106.3   175.7   226.0   256.1   275.4   295.8   319.1   352.8   419.9   537.2  2338.4 104909.6   105000  1745598000677  1745598005690
read      197.2    93.4    63.8    97.9   107.0   174.6   223.4   253.0   272.6   293.6   317.8   352.8   423.7   563.1  1498.1 109903.4   110000  1745598007203  1745598012216
read      197.5   100.6    63.8    96.9   106.0   174.6   223.9   253.5   273.5   294.8   319.3   354.8   427.7   588.0  2252.1 114925.8   115000  1745598013733  1745598018747
read      195.4    92.3    63.8    97.7   106.8   173.1   219.0   247.9   268.2   290.3   315.5   350.5   423.4   599.8  1555.7 120175.1   120000  1745598020259  1745598025273
read      195.8    92.7    63.8    97.4   106.6   173.0   218.5   247.2   267.7   290.3   316.9   355.7   434.6   629.6  1249.3 125040.1   125000  1745598026785  1745598031799
read      201.8    99.5    63.8    99.3   109.4   178.7   225.5   254.2   274.2   296.5   323.1   363.5   451.8   772.5  2559.6 129750.2   130000  1745598033311  1745598038324
read      200.6    89.9    63.8   101.1   110.8   177.5   223.2   251.9   272.3   294.9   321.4   363.0   448.6   642.8  1174.8 134786.8   135000  1745598039837  1745598044850
read      197.5    89.6    63.8    99.7   109.7   175.3   219.3   247.3   267.7   290.4   317.2   356.2   434.2   595.6  1634.6 139885.2   140000  1745598046362  1745598051376
read      197.5    96.0    63.8   101.1   111.0   176.5   218.3   245.1   264.8   287.0   313.8   351.7   429.3   608.2  1627.9 145146.6   145000  1745598052890  1745598057904
read      204.9    95.1    63.8   102.3   112.7   182.2   226.9   254.0   273.6   296.6   325.1   368.2   474.8   818.8  2072.5 149871.7   150000  1745598059417  1745598064430
read      207.0    96.0    63.8   104.9   115.8   185.3   229.1   255.8   275.1   297.5   325.6   367.4   464.9   740.3  2140.1 155183.1   155000  1745598065943  1745598070957
read      215.1   112.4    63.8   107.5   118.9   191.9   236.3   264.1   284.0   307.5   337.7   385.9   512.1   861.6  2768.4 160306.6   160000  1745598072468  1745598077482
