Timestamp start: 1745953051438
Timestamp end: 1745954851753

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      180.6   180.3    68.9   120.2   131.0   168.2   182.4   190.4   196.9   204.0   215.2   233.5   336.0  2767.0  7752.8   8126.0     8195
read      314.3   401.0    63.8   127.9   145.8   251.3   309.7   342.9   367.3   396.2   434.2   502.8  2889.1  5149.9  8077.6 158136.4   158594
read      236.4   208.7    63.8   111.9   124.6   201.9   246.7   274.4   295.9   320.9   355.1   409.4   685.5  3294.7  6321.8 149720.5   149766
read      184.6   142.1    74.4   113.7   127.4   172.6   190.9   201.0   209.5   218.5   232.4   255.9   388.6  1958.9  5837.9  10326.3    10382
read      323.8   269.3    68.9   144.1   165.1   278.8   336.5   370.3   395.7   426.7   467.9   544.8  1502.0  3688.2  7230.6 170325.5   170548
read      246.5   225.2    68.9   113.6   127.2   208.0   254.9   284.4   306.2   332.5   367.7   428.6  1102.2  3199.3  7178.7 150449.9   150565
read      212.7   128.0    68.9   106.0   116.8   186.8   229.3   256.3   277.0   302.5   334.0   381.5   505.9  1665.5  3540.2 137080.1   137144
read      216.6   159.0    63.8   107.7   118.8   189.7   231.6   258.7   279.5   304.6   335.7   383.4   506.9  2201.8  5327.7 143536.1   143496
read      214.6   128.8    63.8   108.1   119.2   189.7   231.1   257.9   278.3   303.4   334.6   381.3   500.3  1707.7  3462.1 144736.5   144743
read      210.4   132.6    63.8   102.3   112.2   182.5   228.1   257.4   280.2   306.6   338.3   384.7   506.8  1574.7  3558.9 116676.3   116745
read      210.4   125.4    63.8   104.1   114.5   184.5   227.9   255.1   276.3   302.6   334.8   381.3   498.6  1390.9  3830.9 129347.2   129314
read      222.8   156.8    63.8   109.5   121.1   195.5   238.0   265.9   287.0   312.2   344.0   394.8   537.1  2262.5  5163.0 144852.4   144723
read      214.4   134.2    68.9   103.9   114.1   187.0   232.4   261.8   284.3   310.7   342.8   391.9   528.0  1483.6  3468.3 117301.1   117379
read      213.4   133.5    68.9   103.9   114.1   186.1   231.2   260.4   282.9   309.4   341.3   389.4   514.6  1509.3  3706.2 119851.3   119931
read      214.2   132.6    68.9   105.5   116.3   187.4   230.5   258.4   280.3   306.5   338.5   387.3   509.7  1603.1  3982.1 131798.3   132052
read      231.0   147.1    68.9   112.7   125.8   204.2   248.6   276.7   298.4   323.7   358.1   411.2   563.2  1966.5  4435.3 143192.7   143350
read      256.2   211.5    68.9   117.4   132.1   220.6   269.9   300.7   323.7   352.7   391.9   458.2   745.9  2850.4  7045.8 143418.3   143518
read      386.5   167.4    68.9   189.5   217.9   354.5   434.5   480.5   512.8   549.3   595.2   665.0   804.5  1333.0  3944.4 173055.9   172981
read      237.3   143.2    63.8   109.3   120.9   208.0   260.2   292.8   316.0   343.2   378.4   436.0   636.4  1675.0  3440.2  93969.0    94027
read      429.7   179.9    86.8   221.3   247.8   392.8   487.9   536.9   570.6   608.8   656.6   730.3   884.4  1378.8  4266.3 170093.9   170019
read      386.9   180.6    74.4   177.4   207.2   345.0   436.9   487.2   521.4   560.9   613.9   700.2   889.4  1227.9  4162.0 179180.4   179090
read      232.8   116.6    68.9   111.3   123.2   215.8   260.8   286.6   304.9   325.9   355.0   404.4   563.3  1073.6  3050.6  47131.4    47130
read      217.3    99.6    68.9   109.5   126.5   206.2   239.3   258.5   273.0   291.0   312.9   345.5   435.3  1038.2  2532.6  19395.7    19439
read      304.9   288.7    68.9   119.8   136.4   241.8   300.7   337.5   366.8   403.8   460.3   582.7  1632.5  3220.3  7004.6 128947.9   128963
read      227.8   110.4    68.9   109.4   124.8   215.0   251.2   273.2   290.5   309.9   334.3   372.3   482.8  1211.5  3046.2  23766.3    23787
