Random waveform, supplied seed
Total number of intervals = 100 (5010, 14153, 12847, 122113, 50875, 136546, 70864, 80412, 81017, 88572, 16903, 32183, 118354, 53402, 79848, 46581, 69610, 15777, 16782, 98581, 64481, 91484, 129570, 82613, 139637, 42701, 133754, 45487, 62400, 111669, 54450, 22077, 22434, 71452, 160518, 114530, 15694, 13974, 167456, 166478, 175859, 155574, 141728, 9698, 42127, 106763, 14288, 18590, 36794, 90978, 28093, 148828, 162888, 39870, 157975, 63111, 161128, 36719, 52892, 89792, 46515, 11332, 27809, 101648, 161303, 171571, 27602, 132029, 106872, 108251, 5989, 17799, 42915, 59345, 46647, 130227, 97374, 75119, 21120, 33287, 113947, 5511, 27215, 93839, 170550, 11360, 160718, 145580, 179245, 24001, 156476, 83852, 146425, 23583, 132562, 139377, 56914, 133118, 32044, 61554)
Average QPS expected = 79796
Timestamp start: 1745831161060
Timestamp end: 1745832161367

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      210.9   169.3    80.4   139.5   152.0   199.7   218.3   228.3   234.6   243.7   253.7   272.8   375.4  1981.6  7792.9   5019.7     5010
read      228.1   155.4    80.4   123.7   142.8   217.4   243.6   257.1   267.4   278.9   294.6   320.1   497.7  2101.7  7097.5  14143.9    14153
read      265.4   462.5    74.4   124.8   142.7   210.4   235.1   249.3   259.6   272.1   290.5   326.8  2166.3  7100.2  8589.2  12852.6    12847
read      346.8   458.4    68.9   111.7   125.6   231.4   283.9   312.4   335.5   369.0   472.7  1389.9  2173.1  4791.3  8062.3 121901.0   122113
read      222.5   114.7    74.4   108.1   117.7   220.7   262.5   281.4   294.2   309.4   327.8   357.4   428.3   641.4  3837.1  50887.8    50875
read      220.5   168.9    68.9   107.4   117.8   189.7   235.2   263.0   282.5   305.0   333.1   375.7   629.0  2297.9  4439.2 136621.1   136546
read      219.4   101.6    68.9   105.4   114.7   203.3   259.8   284.7   301.2   319.0   341.3   373.5   459.4   734.2  2206.6  70797.6    70864
read      217.4   108.4    68.9   104.1   113.3   196.1   254.9   281.9   299.8   319.5   343.7   380.1   474.1   769.0  2892.4  80416.0    80412
read      219.6   106.7    74.4   104.9   114.1   198.2   257.2   284.6   302.9   322.6   347.1   385.9   484.5   826.4  2725.0  80814.5    81017
read      217.4   117.6    68.9   104.3   113.5   193.4   251.4   279.7   298.5   319.0   344.1   382.3   475.3  1091.4  3220.1  88625.2    88572
read      241.2   139.4    74.4   123.0   142.3   232.2   263.1   280.2   292.8   308.4   328.1   361.0   461.1  1989.9  5722.8  16861.6    16903
read      275.4   246.1    74.4   112.9   126.5   253.3   302.0   328.7   347.2   369.4   397.4   442.9   786.7  3929.2  7723.0  32158.2    32183
read      276.0   289.3    68.9   109.5   120.9   212.2   268.9   301.2   324.3   352.7   392.5   495.7  1612.4  3107.0  7206.3 118375.3   118354
read      229.8    93.6    74.4   110.3   120.2   227.5   273.5   294.6   309.0   324.4   344.3   374.1   447.1   616.2  1343.1  53390.2    53402
