Random waveform, supplied seed
Total number of intervals = 180 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582)
Average QPS expected = 89046
Timestamp start: 1745947730050
Timestamp end: 1745949530375

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      197.4   317.4    63.8   129.1   142.3   184.7   200.5   210.3   216.9   226.2   236.9   261.2   352.5  1224.6 18883.6   8133.7     8195
read      599.7   750.9    68.9   157.3   178.8   305.4   379.8   457.4   714.3  1365.6  1563.8  1877.7  3493.7  6984.4  8113.8 158500.4   158594
read      551.7   690.5    68.9   143.5   164.1   278.8   348.1   428.7   639.4  1317.8  1539.7  1799.3  3474.2  5794.6  8127.0 150036.0   149766
read      454.7   869.6    68.9   112.8   125.3   212.0   290.4   372.0   461.6   620.1   969.5  1506.7  5996.3  8091.1 10146.1  10392.2    10382
read      666.3   719.8    74.4   172.1   192.4   353.6   461.9   738.5  1339.1  1501.6  1642.3  1859.6  3512.1  5020.6  8087.0 170567.5   170548
read      541.5   616.2    74.4   174.6   196.5   355.6   438.0   497.4   557.9   691.8  1372.7  1714.3  3227.9  7059.0  8100.8 150588.0   150565
read      398.2   299.3    74.4   186.0   211.1   363.8   433.8   471.4   500.9   537.8   590.3   686.5   967.4  5475.9  8119.4 137337.6   137144
read      397.9   248.9    80.4   187.5   213.2   365.8   437.5   476.8   506.6   544.9   598.7   692.3   942.0  3617.6  7515.4 143504.5   143496
read      375.3   212.4    74.4   184.2   209.5   341.8   410.1   450.0   479.2   515.3   566.2   651.4   868.6  2561.6  7350.2 144659.7   144743
read      343.3   203.4    74.4   168.3   192.3   310.9   370.3   406.4   434.3   468.8   517.3   598.9   805.8  2482.5  7296.2 116789.9   116745
read      327.2   206.7    68.9   157.8   180.5   295.2   351.4   386.7   413.5   447.5   494.1   572.2   778.7  3010.4  6740.1 129346.2   129314
read      295.6   177.7    68.9   140.0   159.9   269.4   320.9   352.6   376.6   406.4   448.5   516.0   689.1  2383.6  5657.8 144923.3   144723
read      249.8   240.5    68.9   109.8   121.4   203.7   255.1   285.7   308.0   334.7   371.1   441.2  1405.7  3219.2  7169.7 117518.5   117379
read      226.0   140.0    68.9   108.4   119.4   197.7   247.8   277.7   299.6   324.8   357.6   407.6   567.0  1618.6  4211.6 119814.6   119931
read      230.3   148.4    68.9   111.6   123.7   202.5   250.7   279.5   300.8   326.0   358.9   410.9   568.1  1824.9  4177.5 132094.9   132052
read      243.8   173.6    68.9   116.8   130.9   217.3   265.4   293.3   314.2   339.5   373.0   431.8   604.6  2081.0  4454.1 143541.4   143350
read      232.1   138.6    68.9   113.5   126.6   207.1   253.1   280.8   301.3   325.6   358.0   409.5   561.3  1732.1  4432.5 143697.0   143518
read      301.9   170.7    68.9   144.0   165.2   277.6   332.5   366.4   392.5   423.9   464.2   526.0   656.5  1488.2  4550.0 172945.8   172981
read      215.9   124.5    63.8   102.6   112.2   187.7   242.6   274.1   295.5   319.2   347.1   392.9   527.8  1260.3  3522.3  94156.1    94027
read      344.5   184.2    74.4   160.4   185.4   313.4   379.7   421.1   451.7   487.9   533.8   604.0   775.6  1961.7  5661.9 169902.3   170019
read      391.8   190.7    74.4   174.6   207.5   354.9   446.5   493.4   526.0   564.4   616.2   697.7   869.9  1577.9  4510.1 178970.9   179090
read      230.4   139.8    68.9   103.9   114.8   207.2   257.2   286.0   307.0   333.3   369.4   426.4   566.6  1343.4  3204.9  47100.0    47130
read      218.5   103.6    68.9   108.9   125.7   207.6   241.3   263.2   277.1   292.5   312.4   343.2   432.8  1211.1  2548.9  19444.0    19439
read      259.2   222.8    68.9   113.1   126.5   214.2   265.7   296.7   320.4   350.0   391.5   467.7  1442.8  2513.1  4650.3 129055.5   128963
read      219.0   105.3    68.9   105.6   120.3   207.9   243.1   265.7   281.8   298.1   319.1   353.2   448.6  1061.8  3531.3  23821.2    23787
read      225.5   130.9    63.8   102.4   112.1   206.5   258.2   286.8   305.2   326.6   355.5   403.7   536.1  1397.1  3604.7  61735.1    61848
read      215.7   114.0    63.8   104.2   114.1   189.9   238.3   269.2   291.7   316.9   348.2   394.5   508.9  1132.3  2723.2 101995.5   101968
read      219.9   121.0    68.9   106.1   116.7   194.1   241.3   272.1   294.9   320.2   353.4   401.3   527.3  1153.9  3292.0 108805.0   108767
read      214.4   128.2    63.8   103.3   113.1   189.4   239.3   269.4   291.6   315.7   345.1   390.3   497.6  1007.2  2928.4  97092.4    97139
read      224.4    99.1    59.1   117.1   130.5   205.5   245.6   270.4   289.3   311.8   340.8   386.8   496.3   902.9  2357.8 158247.4   158594
read      231.7   161.4    68.9   111.7   123.9   199.9   243.8   271.3   292.6   317.8   351.6   409.9   773.8  2191.1  3470.2 141224.9   141240
read      256.2   228.6    63.8   101.7   113.3   218.3   265.9   299.3   324.3   355.0   396.7   481.0   985.1  3044.3  7688.5  41422.5    41405
read      261.8   172.8    68.9   102.3   113.5   229.7   294.3   334.9   364.4   397.3   438.8   503.3   709.9  1949.4  4270.7  57991.4    57997
read      535.8   862.0    68.9   146.8   166.0   283.6   331.8   365.4   398.7   471.1   975.5  3063.6  3624.3  7838.8  9219.5 133480.9   133577
read      287.4   341.5    68.9   103.3   115.7   227.0   289.0   331.7   363.4   400.2   452.8   567.7  1456.3  3445.5  8091.2  53687.1    53832
read      486.4   650.6    74.4   156.1   178.4   309.1   372.6   420.1   466.1   551.9   809.9  1560.7  3424.0  7037.3  8120.9 139656.1   139832
read      321.7   223.8    68.9   153.9   176.6   294.6   349.2   381.2   404.5   435.1   476.4   545.7   728.6  3220.1  7745.4 170641.0   170515
read      246.9   286.8    68.9   110.0   122.1   202.6   249.0   277.7   301.0   329.1   366.5   433.7  1050.1  3708.1  9311.9 128455.0   128494
read      201.1   126.1    68.9   108.8   123.7   191.7   214.4   227.1   235.6   248.4   265.4   295.9   411.2  1981.4  4477.1  20865.9    20789
read      221.7   163.0    63.8   100.8   110.2   201.8   250.1   273.5   291.7   314.0   342.3   392.0   534.6  2350.3  5706.5  63685.4    63647
read      210.6    99.8    68.9   101.2   110.4   197.6   244.7   267.3   283.2   302.3   327.3   363.8   456.3   771.3  2480.2  64813.6    64802
read      209.4   109.3    68.9   101.6   110.8   201.6   243.2   263.1   276.2   293.1   316.4   351.4   435.8   693.0  2246.1  55736.4    55719
read      260.6   157.1    68.9   129.6   146.4   237.9   283.8   311.0   331.4   356.4   389.9   443.3   583.4  1787.9  6125.6 173970.3   174179
read      209.8   117.0    68.9   102.5   112.1   184.0   231.7   260.0   280.0   304.6   336.5   382.8   502.3  1288.7  3020.0 106407.1   106356
read      293.2   161.5    68.9   144.4   164.8   272.4   323.7   353.7   375.5   402.0   436.5   492.6   622.1  1664.8  5871.1 178883.7   178750
read      212.2   121.8    68.9   103.0   112.8   185.1   232.6   260.8   281.3   306.7   339.5   388.4   531.2  1387.3  3119.8 105762.4   105831
read      214.3   142.5    63.8   103.7   113.6   186.3   233.3   261.6   282.0   307.5   340.6   390.9   544.2  1529.3  4551.2 110629.9   110667
read      189.4   145.1    74.4   118.8   131.9   174.9   192.3   201.9   210.5   219.5   232.9   259.4   504.0  2126.5  5736.6   8774.8     8803
read      247.4   182.0    68.9    99.6   110.3   222.3   275.6   310.5   335.2   361.1   392.0   437.0   631.1  2518.0  5367.4  45610.4    45662
read      234.2   147.6    68.9   104.1   117.3   218.3   260.1   283.3   300.1   322.5   346.9   387.3   537.6  1981.6  5138.4  30794.0    30867
read      254.0   208.6    68.9   100.4   111.1   225.3   279.5   315.1   339.4   366.3   398.4   448.0   723.6  3105.9  6002.1  45672.0    45656
read      223.5   169.6    68.9   104.5   114.6   191.8   242.1   271.4   292.8   320.1   354.5   409.9   627.5  2174.5  5711.7 101058.2   100938
read      222.6   135.4    68.9   109.6   120.9   196.6   239.9   267.1   287.5   313.3   346.2   398.8   545.7  1816.1  3515.6 132497.5   132360
read      216.3   115.5    63.8   102.8   112.2   200.7   251.8   275.4   292.1   313.1   338.8   376.8   479.0   776.1  2671.9  67697.9    67591
read      229.9   146.4    68.9   103.7   115.9   215.7   257.9   281.4   298.1   320.2   343.9   378.3   464.9  1986.8  5252.8  33888.0    33910
read      254.9   148.2    63.8   103.1   113.5   206.1   286.7   345.9   385.8   426.1   470.1   532.0   651.7   863.0  2745.7  85854.0    85729
read      192.2    98.6    74.4   114.8   131.4   186.9   208.2   219.7   228.5   237.9   251.6   272.6   326.7   502.9  4687.1  12880.8    12884
read      234.4   105.9    68.9   101.1   111.7   219.8   270.5   302.6   327.3   350.4   377.2   416.0   493.9   645.5  1694.8  45569.4    45621
read      229.6   102.2    63.8   102.7   114.6   217.6   263.7   290.3   310.7   332.7   356.8   391.4   461.4   642.4  2628.4  36864.4    36938
read      237.8   126.7    63.8    99.6   109.5   217.8   275.3   313.6   340.0   368.0   399.7   443.7   527.5   690.5  1885.7  57004.5    56902
read      272.3   178.9    63.8   107.0   118.7   209.0   289.6   365.9   416.5   464.9   519.3   599.3   786.5  1183.9  2285.7 102143.0   102243
read      190.3    66.9    68.9   112.6   129.0   186.0   208.1   220.2   229.0   238.7   252.4   273.3   329.4   496.3  2088.9  14082.8    14085
read      259.1   159.8    63.8   103.7   114.6   205.4   285.4   349.5   392.0   435.0   482.1   548.1   686.7  1125.6  3525.5  94015.4    94103
read      227.9   143.6    63.8   100.6   111.3   214.6   262.5   289.5   311.0   335.1   362.5   401.1   486.8   663.4  4381.6  58145.3    58175
