Timestamp start: 1746893435855
Timestamp end: 1746894436178

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      257.7   121.4    93.8   147.6   163.9   240.9   272.2   291.8   307.1   325.9   354.2   404.8   590.1  1352.4  3224.6   8189.0     8195
read      364.3   252.8    80.4   165.0   187.7   308.8   376.6   423.0   460.4   509.1   582.2   713.5  1201.9  3036.5  7773.9 158576.4   158594
read      314.6   171.0    80.4   155.2   174.8   281.6   337.1   371.9   399.4   434.4   484.8   574.4   813.1  1691.2  5724.2 149811.8   149766
read      258.3   180.8    86.8   140.9   157.0   240.5   272.0   290.7   305.2   322.6   347.1   393.6   609.0  2406.2  7716.4  10415.0    10382
read      512.4   485.2    86.8   199.3   224.9   350.1   443.2   521.7   597.5   743.0  1116.4  1479.0  2333.8  4833.6  8084.8 170288.6   170548
read      398.3   260.2    93.8   205.1   229.6   352.8   421.0   461.5   492.8   532.1   587.2   688.4  1059.1  3723.7  7794.0 150697.0   150565
read      362.7   238.1    86.8   171.9   194.9   314.3   385.8   431.5   465.7   506.7   563.5   659.3   973.8  3229.8  6916.1 137252.2   137144
read      309.6   184.0    80.4   149.0   167.0   272.9   330.2   366.9   395.7   432.1   483.9   575.0   838.0  2113.1  6044.7 143425.6   143496
read      304.6   186.7    86.8   148.8   166.5   268.1   322.4   357.5   384.7   419.7   469.4   563.9   845.7  2450.1  5399.7 144891.4   144743
read      271.1   148.9    86.8   132.5   146.6   238.0   294.2   327.6   352.9   384.1   427.0   503.7   716.8  1479.2  3282.2 116906.2   116745
read      271.7   162.5    80.4   135.3   150.0   239.2   291.7   323.1   347.4   378.0   420.4   494.6   700.6  2088.6  4222.4 129634.2   129314
read      303.8   257.3    80.4   145.5   163.0   262.4   315.1   346.9   372.4   403.8   449.7   530.3   976.2  3540.7  7782.7 145034.2   144723
read      273.8   226.0    80.4   131.9   146.1   235.8   288.6   318.9   341.7   369.2   405.2   470.5   797.5  3279.9  7124.4 117313.4   117379
read      256.3   147.6    80.4   131.0   144.7   228.7   277.6   307.3   329.1   355.3   389.8   446.2   619.5  2010.4  3920.3 120067.8   119931
