Random waveform, supplied seed
Total number of intervals = 200 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136, 130756, 69916, 72019, 78070, 99548, 36393, 172591, 8325)
Average QPS expected = 87951
Timestamp start: 1746888001760
Timestamp end: 1746889202088

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      234.6    93.7    93.8   145.3   161.1   225.8   249.7   264.7   275.1   290.2   310.4   343.2   425.9  1054.9  3813.4   8093.7     8195
read      290.1   194.8    80.4   146.5   163.2   256.8   304.8   334.3   357.4   386.9   428.5   504.3   829.1  2694.1  5778.8 158477.3   158594
read      278.2   189.3    80.4   143.0   159.3   249.1   295.7   324.3   346.1   374.0   412.8   480.0   704.0  2152.3  7004.6 149683.0   149766
read      265.5   321.5    74.4   142.2   158.5   232.3   261.4   278.2   291.2   307.7   330.8   373.0   947.2  5592.0  8051.1  10389.3    10382
read      470.2   492.8    93.8   204.6   228.5   323.4   380.3   426.3   470.8   553.4   910.6  1443.8  2590.1  5530.1  8054.8 170397.2   170548
read      343.3   206.6    86.8   181.0   207.2   315.3   362.5   391.5   414.3   444.0   487.2   563.1   820.4  2850.6  7543.0 150554.2   150565
read      273.9   176.4    80.4   138.0   153.2   247.0   296.0   324.8   346.1   373.1   410.1   473.9   669.2  2332.0  5176.2 137185.3   137144
read      263.0   136.5    80.4   137.1   151.4   237.2   285.3   314.1   336.2   363.7   399.6   460.5   617.7  1330.8  3895.7 143612.5   143496
read      264.5   164.6    80.4   137.0   151.2   235.3   282.5   311.2   333.2   360.5   397.0   459.8   647.3  2331.4  5367.5 144932.2   144743
read      258.4   214.3    80.4   128.2   140.2   218.8   268.7   298.7   320.6   347.0   382.6   445.1   923.5  3185.0  6459.7 116912.2   116745
read      247.2   138.1    80.4   130.3   143.0   220.2   266.8   294.8   315.5   340.2   371.8   422.5   580.1  1616.5  4423.0 129353.8   129314
read      255.7   168.1    80.4   135.6   149.7   230.8   274.7   301.1   320.6   345.0   377.2   429.5   571.0  2468.7  5811.2 144888.2   144723
read      238.5   123.4    80.4   127.1   138.7   212.6   260.4   290.0   311.4   336.3   367.2   413.2   541.5  1173.0  3243.9 117200.8   117379
read      239.7   129.2    80.4   127.8   139.6   213.7   260.8   289.8   311.0   335.6   366.2   412.0   533.4  1445.2  4148.2 120001.2   119931
read      245.5   136.3    80.4   131.2   144.0   220.4   265.5   292.8   313.3   337.7   368.9   418.0   551.0  1682.9  3527.3 131945.8   132052
read      254.2   135.2    80.4   136.4   150.5   230.9   274.7   301.4   320.9   345.3   377.4   429.1   568.6  1676.1  4263.7 143289.7   143350
read      253.7   149.4    80.4   135.0   149.2   228.3   272.4   299.3   319.3   344.2   377.3   431.8   591.8  1619.3  5073.7 143260.7   143518
read      299.0   168.1    80.4   160.9   180.0   276.1   320.1   346.7   368.3   395.2   432.8   500.2   667.9  1654.7  6667.1 173096.3   172981
read      240.0   139.7    86.8   124.2   135.5   214.2   268.9   300.0   320.9   344.6   373.4   418.0   529.2   919.8  3812.8  93818.3    94027
read      290.0   142.1    80.4   154.6   173.2   265.9   310.6   338.3   360.6   389.2   429.9   500.7   670.0  1367.0  4561.2 169929.0   170019
read      312.3   159.8    80.4   172.2   192.9   290.2   333.6   359.9   380.0   405.6   444.8   513.6   694.1  1922.9  5302.7 179166.2   179090
read      256.0   140.8    86.8   126.4   137.7   236.2   289.0   315.6   335.0   358.0   387.6   432.9   566.4  1830.2  3872.8  47124.2    47130
read      273.4   126.4    86.8   139.3   155.8   265.7   305.3   325.7   340.6   358.5   380.7   418.5   523.6  1651.8  3346.3  19460.3    19439
read      351.5   345.4    86.8   143.1   160.6   272.2   326.3   361.3   390.4   431.9   515.6   914.5  1685.3  3406.9  8395.5 128491.5   128963
read      270.6   118.5    80.4   137.6   152.3   263.4   303.7   324.6   340.0   358.4   381.4   419.0   526.2  1519.2  2964.4  23794.8    23787
read      273.0   160.5    80.4   128.3   140.1   248.8   308.2   338.1   359.9   386.3   422.6   487.3   697.3  1631.0  3967.9  61824.0    61848
read      248.2   135.0    80.4   127.2   138.8   218.5   273.8   306.1   328.6   354.2   386.2   434.8   605.9  1396.7  3983.1 101647.5   101968
read      241.0   117.4    80.4   127.2   138.7   214.7   266.3   296.9   318.8   343.6   373.7   419.7   534.0  1103.4  3175.3 108562.2   108767
read      239.5   111.1    80.4   124.8   136.0   213.3   268.8   300.3   321.3   345.1   373.6   416.6   516.4   999.6  2586.9  97040.3    97139
read      292.0   149.6    80.4   153.0   171.4   267.4   313.8   342.3   365.2   393.7   433.4   503.8   689.8  1547.3  3757.1 158517.5   158594
read      266.6   133.1    80.4   140.0   155.0   242.3   289.2   316.9   338.3   364.8   399.5   459.7   630.5  1345.7  3931.5 141073.3   141240
read      270.6   132.4    86.8   127.9   139.8   260.7   313.5   340.5   359.3   380.1   405.2   446.3   545.5  1402.1  3309.7  41333.3    41405
