Random waveform, supplied seed
Total number of intervals = 143 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567)
Average QPS expected = 94260
Timestamp start: 1746896064800
Timestamp end: 1746897065133

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      231.7    99.1    93.8   141.4   157.1   224.1   247.0   261.1   271.5   285.2   303.3   334.6   415.5  1068.7  3395.9   8190.9     8195
read      349.3   245.7    80.4   159.2   179.4   300.4   370.2   416.3   452.8   498.2   558.8   659.2   938.8  3235.3  7579.7 158530.9   158594
read      335.2   204.5    86.8   155.5   175.7   296.0   364.5   408.1   442.0   482.7   534.6   613.8   800.1  2864.5  6018.4 149717.3   149766
read      286.3   406.9    93.8   142.1   159.3   240.8   268.9   285.5   297.3   314.3   337.9   384.5  1572.3  6785.5  8083.2  10389.3    10382
read      473.2   433.5    86.8   201.3   227.0   347.0   424.2   483.5   536.2   612.2   768.9  1425.0  1911.7  4631.9  7944.5 170521.4   170548
read      377.9   202.1    80.4   196.4   219.8   338.6   408.8   452.5   484.9   524.3   576.1   659.0   864.0  2480.2  6679.9 150485.0   150565
read      328.0   186.6    80.4   159.6   179.8   296.1   355.9   392.7   421.3   457.0   504.8   585.6   791.6  2007.6  5097.0 137198.1   137144
read      338.1   247.2    80.4   155.3   175.6   294.3   357.9   398.4   430.5   470.0   525.0   613.5   909.6  3424.0  7607.4 143581.0   143496
read      322.3   230.8    80.4   151.0   169.8   281.1   336.9   371.7   399.6   435.9   489.8   584.8  1200.5  3077.7  7214.3 144820.9   144743
read      248.6   147.7    74.4   129.3   141.6   221.3   270.7   299.9   320.6   345.1   375.6   424.1   572.7  1858.9  4390.0 116743.7   116745
