Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1746901056935
Timestamp end: 1746902057238

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      253.2   122.7    93.8   146.1   164.1   247.5   274.0   289.5   300.3   314.5   333.6   364.2   434.6  1046.0  6301.1   8149.2     8195
read      357.2   219.9    86.8   176.7   202.4   330.9   388.3   421.4   445.9   474.9   515.0   582.3   798.1  3114.1  7640.2 158574.8   158594
read      336.0   228.1    86.8   166.9   190.1   308.8   360.9   391.0   413.3   441.0   478.9   545.3   799.4  3301.7  7945.3 149644.8   149766
read      273.6   286.1    93.8   141.7   158.3   246.8   276.8   293.9   307.3   322.3   344.9   389.6  1000.4  3981.8 10176.3  10448.7    10382
read      379.8   257.2    80.4   187.6   213.6   334.9   396.7   435.7   466.5   504.6   557.0   651.2  1379.3  2850.8  7256.9 170566.8   170548
read      352.7   266.4    80.4   172.0   196.3   318.6   375.1   409.1   434.9   467.4   512.9   596.5   892.7  3547.7  8836.2 150603.6   150565
read      312.7   226.5    80.4   148.8   167.3   276.9   330.2   361.5   385.0   413.9   455.2   533.7  1160.0  2984.1  7162.7 137187.7   137144
read      290.2   156.2    80.4   147.2   164.8   268.2   318.2   346.9   368.8   394.9   429.2   487.0   650.0  1938.9  4590.1 143525.7   143496
read      287.8   146.1    80.4   147.9   165.3   266.6   315.7   343.9   365.3   391.0   425.1   481.1   640.6  1631.6  4145.5 144827.2   144743
read      260.2   213.9    80.4   131.5   144.6   231.5   285.8   316.5   338.9   365.0   397.3   448.9   620.4  1650.1  4259.8 116942.7   116745
read      262.7   147.4    80.4   135.5   149.7   237.2   288.0   316.5   337.7   362.8   394.5   444.1   591.5  1740.3  4057.4 129365.9   129314
read      280.5   141.6    80.4   144.6   161.8   260.1   308.3   335.9   356.2   380.5   412.6   464.8   613.2  1729.7  3608.6 144548.9   144723
read      253.8   145.7    80.4   130.2   142.9   227.0   280.3   310.8   332.4   357.2   387.7   432.6   555.6  1918.6  4212.7 117304.0   117379
read      252.8   155.8    80.4   130.6   143.3   226.7   279.2   309.3   330.4   354.8   384.8   429.0   546.1  1678.2  5539.7 119987.7   119931
read      263.7   158.3    80.4   136.8   151.0   239.3   289.4   317.8   338.8   363.6   394.6   441.7   571.8  1915.9  6216.8 132001.9   132052
read      293.1   153.5    80.4   146.5   164.5   271.5   323.7   353.8   375.3   401.9   436.2   494.1   643.2  1681.9  5056.1 143401.2   143350
read      314.5   192.4    80.4   154.0   174.2   286.6   340.5   372.1   396.2   425.9   465.7   536.9   771.5  2774.6  6231.0 143443.4   143518
read      370.2   152.0    86.8   197.5   224.7   344.9   403.9   441.7   469.6   503.9   546.7   613.0   746.7  1195.2  3722.1 172872.3   172981
read      258.9   167.6    80.4   129.3   142.0   236.4   292.8   322.1   342.9   366.7   396.0   439.9   552.7  1254.8  5900.9  93860.2    94027
read      378.0   173.4    80.4   192.9   219.9   348.4   416.4   457.2   487.1   522.4   567.8   636.7   801.0  1774.1  5191.4 169954.9   170019
read      373.4   155.8    86.8   197.6   225.5   349.6   406.6   442.8   469.7   503.3   546.3   616.7   772.3  1444.4  4020.5 179083.0   179090
read      258.7   112.1    86.8   129.8   142.5   247.2   295.4   319.7   337.6   358.8   386.3   429.7   534.4   985.2  2546.1  47011.7    47130
read      276.8   103.6    86.8   137.4   152.3   278.7   313.6   332.6   345.6   362.9   383.6   415.8   496.5   984.6  2883.6  19384.3    19439
read      307.1   259.6    74.4   140.8   156.9   262.2   316.9   347.5   370.5   398.0   435.4   513.2  1520.7  3368.2  7084.5 128875.1   128963
read      274.7   104.7    86.8   136.0   149.7   277.3   314.6   334.3   347.5   364.8   386.0   418.2   488.5   940.7  2551.4  23754.6    23787
read      276.5   194.1    80.4   124.5   136.0   253.9   312.5   340.5   360.8   384.9   417.9   475.8   814.0  2414.1  6221.0  61713.9    61848
read      266.3   193.4    80.4   125.8   137.7   225.2   286.5   319.6   342.7   369.5   403.6   471.9  1003.0  2380.7  4337.4 101897.1   101968
read      293.0   303.6    80.4   128.8   141.5   234.0   291.6   323.3   346.5   375.0   416.5   530.8  1502.5  3481.1  7701.5 108760.1   108767
read      247.9   127.9    80.4   123.9   135.3   219.1   282.2   314.6   336.3   360.5   389.8   433.7   578.3  1144.0  2952.9  97062.8    97139
read      319.3   161.2    80.4   157.6   179.0   298.8   354.3   385.9   408.7   436.2   472.4   534.6   690.0  1658.7  4691.4 158621.1   158594
read      275.7   164.4    80.4   140.1   155.9   250.7   300.2   329.0   349.9   374.9   408.4   463.4   631.6  2288.4  5392.2 141387.2   141240
read      282.1   159.7    74.4   127.3   139.2   272.7   324.8   351.9   370.8   392.9   420.3   464.1   652.7  1890.2  3405.9  41408.0    41405
read      298.8   232.6    80.4   126.1   138.6   273.1   335.6   369.2   392.6   419.0   452.3   505.6   937.1  3247.0  7590.2  57844.1    57997
read      307.2   282.6    80.4   140.4   156.4   260.5   313.3   343.0   365.7   393.5   432.2   514.4  1514.2  3599.8  7787.6 133589.8   133577
